Process,Total project,Project using latest,Total Dockerfile,Dockerfile using latest,Number of changes pinned to latest,Number of changes latest to pinned,File not found or error,Repo not found
313,92,32,213,101,1,2,0,127
189,123,39,298,132,0,3,0,97
341,91,29,228,49,0,1,0,146
347,77,18,129,24,0,1,0,147
356,93,32,132,43,1,0,0,130
361,86,26,118,45,0,1,0,144
346,104,34,133,39,1,0,0,125
367,85,23,115,25,0,2,0,175
362,93,25,116,26,0,0,0,153
368,96,23,196,42,1,3,0,167
358,78,29,100,40,1,0,0,169
364,78,30,115,35,0,0,0,161
369,84,33,115,39,0,2,0,175
363,92,24,116,25,0,2,0,157
354,97,27,238,60,0,0,0,140
352,98,27,133,38,2,4,0,120
344,91,24,206,51,0,2,0,148
351,112,34,202,45,1,1,0,130
366,91,25,105,29,2,2,0,125
359,81,28,226,75,1,1,0,165
370,83,35,146,68,0,1,0,146
350,103,28,187,38,1,1,0,138
360,102,28,150,34,0,1,0,130
345,85,24,171,28,0,1,0,162
371,103,26,150,31,3,4,0,91
365,104,40,190,44,0,1,0,139
355,104,30,178,42,0,1,0,135
348,101,25,255,115,0,0,1,117
375,107,25,134,27,0,2,0,87
408,107,36,129,43,1,1,0,88
386,117,35,216,55,0,1,0,101
378,118,35,161,48,0,1,0,81
376,126,29,191,52,1,7,0,66
380,144,46,185,54,1,3,0,68
413,136,43,219,57,2,0,0,52
427,115,32,164,43,1,1,0,89
388,132,32,257,140,0,1,0,65
349,102,30,135,33,0,3,0,141
410,125,31,188,53,0,4,0,60
417,124,37,181,51,3,4,0,65
382,138,39,163,46,3,5,0,65
372,106,34,178,40,0,4,0,70
384,121,34,330,136,0,0,0,61
404,116,30,164,39,1,1,0,69
373,141,43,277,102,2,3,0,58
423,109,36,157,61,0,0,0,92
374,122,34,161,48,0,1,0,52
393,115,34,147,48,0,0,0,57
401,122,38,154,45,0,0,0,78
471,122,39,219,76,0,0,0,91
414,120,28,222,32,0,3,0,64
390,131,38,178,51,3,4,0,64
412,106,29,184,37,0,0,0,72
407,126,48,251,105,1,3,0,72
429,111,39,139,42,2,1,0,94
431,123,37,174,49,1,1,0,80
434,96,32,109,36,1,1,0,105
391,141,56,188,77,2,2,0,46
460,113,41,211,59,0,0,0,76
405,107,31,118,32,0,4,0,78
385,120,42,166,56,3,4,0,70
397,133,34,213,44,3,2,0,66
387,121,27,165,30,0,1,0,76
357,90,29,114,41,0,0,0,137
392,127,39,267,52,2,1,0,73
450,115,27,150,36,2,1,0,72
436,116,41,357,83,1,0,0,67
458,114,38,212,50,3,2,0,86
456,106,33,151,52,1,0,0,105
454,122,39,159,47,1,2,0,79
418,121,32,171,46,3,2,0,83
433,115,34,151,36,0,3,0,103
395,114,35,204,36,1,1,0,60
474,97,29,125,29,0,2,0,97
411,119,29,149,32,0,0,0,78
399,112,33,232,54,0,2,0,76
463,134,35,164,39,0,1,0,57
451,137,37,166,40,2,2,0,56
445,98,28,161,37,1,3,0,106
403,103,34,168,55,0,1,1,84
409,107,30,127,34,1,4,0,81
383,110,36,162,40,0,1,0,85
398,125,35,210,55,2,2,0,62
453,114,36,173,49,0,3,0,83
488,111,24,237,25,0,0,0,65
428,116,32,163,42,0,2,0,65
449,125,24,235,40,1,2,0,96
461,125,44,164,50,2,1,0,83
389,122,34,154,38,0,1,0,71
400,129,27,171,29,1,1,0,46
420,107,30,262,38,2,2,0,80
402,121,35,205,47,0,2,0,67
475,105,34,203,52,0,2,0,80
